,Correlation,Noise,Name,Length
912,0.5552127748890483,0.1,Curve 91,Length 100
913,0.6033921995092609,0.15,Curve 91,Length 100
914,0.2831514975712138,0.2,Curve 91,Length 100
920,0.4094146040009302,smooth,Curve 92,Length 100
921,0.7393462911034584,0.05,Curve 92,Length 100
922,0.698942987402721,0.1,Curve 92,Length 100
923,0.5104660246525007,0.15,Curve 92,Length 100
924,0.4201827942209504,0.2,Curve 92,Length 100
930,0.3572469930830807,smooth,Curve 93,Length 100
931,0.9419000214852756,0.05,Curve 93,Length 100
932,0.6478443020308683,0.1,Curve 93,Length 100
933,0.6810264064644121,0.15,Curve 93,Length 100
934,0.571058826207574,0.2,Curve 93,Length 100
940,0.5171881968910707,smooth,Curve 94,Length 100
941,0.8529436251192631,0.05,Curve 94,Length 100
942,0.446970550562345,0.1,Curve 94,Length 100
943,0.4135683672997297,0.15,Curve 94,Length 100
944,0.3860417187345409,0.2,Curve 94,Length 100
950,0.3843052857162138,smooth,Curve 95,Length 100
951,0.6920577424872144,0.05,Curve 95,Length 100
952,0.6228505459947299,0.1,Curve 95,Length 100
953,0.6566631708365015,0.15,Curve 95,Length 100
954,0.7092313675312617,0.2,Curve 95,Length 100
960,0.5504069039505294,smooth,Curve 96,Length 100
961,0.6868790449609423,0.05,Curve 96,Length 100
962,0.5224898509727934,0.1,Curve 96,Length 100
963,0.4833423190069135,0.15,Curve 96,Length 100
964,0.3853487202043623,0.2,Curve 96,Length 100
970,0.3894312931827576,smooth,Curve 97,Length 100
971,0.6496645651900304,0.05,Curve 97,Length 100
972,0.6389003944833852,0.1,Curve 97,Length 100
973,0.5633266929855488,0.15,Curve 97,Length 100
974,0.5485572127925513,0.2,Curve 97,Length 100
980,0.5318280593380115,smooth,Curve 98,Length 100
981,0.9111710630599528,0.05,Curve 98,Length 100
982,0.7902842066356219,0.1,Curve 98,Length 100
983,0.7765754875678079,0.15,Curve 98,Length 100
984,0.6241981726512299,0.2,Curve 98,Length 100
990,0.46894457857561,smooth,Curve 99,Length 100
991,0.7628305641812991,0.05,Curve 99,Length 100
992,0.6528436050955031,0.1,Curve 99,Length 100
993,0.5671532268446261,0.15,Curve 99,Length 100
994,0.5232016886607371,0.2,Curve 99,Length 100
1000,0.3513001145035961,smooth,Curve 100,Length 100
1001,0.8793655347823031,0.05,Curve 100,Length 100
1002,0.517688859345225,0.1,Curve 100,Length 100
1003,0.4386745992458508,0.15,Curve 100,Length 100
1004,0.5237828025828971,0.2,Curve 100,Length 100
1010,0.3839547140565817,smooth,Curve 101,Length 100
1011,0.8421674321357906,0.05,Curve 101,Length 100
1012,0.721915610920495,0.1,Curve 101,Length 100
1013,0.4729488390586985,0.15,Curve 101,Length 100
1014,0.6619628901722947,0.2,Curve 101,Length 100
1020,0.4398821626960367,smooth,Curve 102,Length 100
1021,0.8897328756344158,0.05,Curve 102,Length 100
1022,0.5404842511940878,0.1,Curve 102,Length 100
1023,0.6287526394793561,0.15,Curve 102,Length 100
1024,0.5286330130435913,0.2,Curve 102,Length 100
1030,0.3964350890024869,smooth,Curve 103,Length 100
1031,0.7832987271917241,0.05,Curve 103,Length 100
1032,0.6697316377279762,0.1,Curve 103,Length 100
1033,0.4870170953198431,0.15,Curve 103,Length 100
1034,0.5303510807696411,0.2,Curve 103,Length 100
1040,0.5846153905246982,smooth,Curve 104,Length 100
1041,0.7625067601887944,0.05,Curve 104,Length 100
1042,0.6297653498628627,0.1,Curve 104,Length 100
1043,0.6225570946585165,0.15,Curve 104,Length 100
1044,0.3660463668581356,0.2,Curve 104,Length 100
1050,0.4397921941595443,smooth,Curve 105,Length 100
1051,0.69675381681763,0.05,Curve 105,Length 100
1052,0.5881572481666336,0.1,Curve 105,Length 100
1053,0.4278598334086492,0.15,Curve 105,Length 100
1054,0.3005631962952527,0.2,Curve 105,Length 100
1060,0.5918009263461181,smooth,Curve 106,Length 100
1061,0.7196081449054728,0.05,Curve 106,Length 100
1062,0.669347076919038,0.1,Curve 106,Length 100
1063,0.6728457548470234,0.15,Curve 106,Length 100
1064,0.6629377066328975,0.2,Curve 106,Length 100
