,Name,AMI score,Length,Noise
42,Curve 42,0.6888851028101572,Length 300,Smooth
43,Curve 43,0.5697271403593653,Length 300,Smooth
44,Curve 44,0.6377952589362667,Length 300,Smooth
45,Curve 45,0.674437724828626,Length 300,Smooth
46,Curve 46,0.5524743351651566,Length 300,Smooth
47,Curve 47,0.6007449765545108,Length 300,Smooth
48,Curve 48,0.6444411504446856,Length 300,Smooth
49,Curve 49,0.5396514203917891,Length 300,Smooth
50,Curve 50,0.49675779332768405,Length 300,Smooth
51,Curve 51,0.6930557816270678,Length 300,Smooth
52,Curve 52,0.6599671732191016,Length 300,Smooth
53,Curve 53,0.6224922678749419,Length 300,Smooth
54,Curve 54,0.6750179978132913,Length 300,Smooth
55,Curve 55,0.6696743107199441,Length 300,Smooth
56,Curve 56,0.5826850266844594,Length 300,Smooth
57,Curve 57,0.5861694050658086,Length 300,Smooth
58,Curve 58,0.6317743379446384,Length 300,Smooth
59,Curve 59,0.5809695118456271,Length 300,Smooth
60,Curve 60,0.6259660467949831,Length 300,Smooth
61,Curve 61,0.6676200137717986,Length 300,Smooth
62,Curve 62,0.6410937757246389,Length 300,Smooth
63,Curve 63,0.5227666165412334,Length 300,Smooth
64,Curve 64,0.46041188662816884,Length 300,Smooth
65,Curve 65,0.5869525860395879,Length 300,Smooth
66,Curve 66,0.48436850050691316,Length 300,Smooth
67,Curve 67,0.6013732688180321,Length 300,Smooth
68,Curve 68,0.5815921842905992,Length 300,Smooth
69,Curve 69,0.545651010945158,Length 300,Smooth
70,Curve 70,0.5968617953602695,Length 300,Smooth
71,Curve 71,0.6392440679798865,Length 300,Smooth
72,Curve 72,0.556834014404731,Length 300,Smooth
73,Curve 73,0.7311854395535455,Length 300,Smooth
74,Curve 74,0.4657000818207494,Length 300,Smooth
75,Curve 75,0.45408854934084625,Length 300,Smooth
76,Curve 76,0.7244413183357555,Length 300,Smooth
77,Curve 77,0.36453415178978754,Length 300,Smooth
78,Curve 78,0.5721025370240146,Length 300,Smooth
79,Curve 79,0.5172929665305286,Length 300,Smooth
80,Curve 80,0.5932463157808788,Length 300,Smooth
81,Curve 81,0.43076827974115534,Length 300,Smooth
82,Curve 82,0.541427376933831,Length 300,Smooth
83,Curve 83,0.5143569499935507,Length 300,Smooth
84,Curve 84,0.6184854770633326,Length 300,Smooth
85,Curve 85,0.5056917669808504,Length 300,Smooth
86,Curve 86,0.5578485083806249,Length 300,Smooth
87,Curve 87,0.5615186495200255,Length 300,Smooth
88,Curve 88,0.5539049610137748,Length 300,Smooth
89,Curve 89,0.5612242224573422,Length 300,Smooth
90,Curve 90,0.5500103486300497,Length 300,Smooth
91,Curve 91,0.6100762163688134,Length 300,Smooth
92,Curve 92,0.6125677919664118,Length 300,Smooth
93,Curve 93,0.6048448274968324,Length 300,Smooth
94,Curve 94,0.648410844060537,Length 300,Smooth
95,Curve 95,0.6819284137944628,Length 300,Smooth
96,Curve 96,0.6554251289974545,Length 300,Smooth
97,Curve 97,0.5168976801901627,Length 300,Smooth
98,Curve 98,0.5481944110683137,Length 300,Smooth
99,Curve 99,0.6263677416442838,Length 300,Smooth
100,Curve 100,0.582880975006769,Length 300,Smooth
101,Curve 101,0.4636884000604827,Length 300,Smooth
102,Curve 102,0.5138079047615571,Length 300,Smooth
103,Curve 103,0.5461441218826555,Length 300,Smooth
104,Curve 104,0.5562860423654132,Length 300,Smooth
105,Curve 105,0.5701258201549293,Length 300,Smooth
106,Curve 106,0.6253951850519157,Length 300,Smooth
107,Curve 107,0.5532709564608161,Length 300,Smooth
108,Curve 108,0.5773476205756393,Length 300,Smooth
109,Curve 109,0.6139001108896314,Length 300,Smooth
110,Curve 110,0.515294114118873,Length 300,Smooth
111,Curve 111,0.7010676573372617,Length 300,Smooth
112,Curve 112,0.563330616299913,Length 300,Smooth
113,Curve 113,0.5831372886881613,Length 300,Smooth
114,Curve 114,0.7124399919946803,Length 300,Smooth
115,Curve 115,0.5817094126478616,Length 300,Smooth
