,Correlation,Name,Length
1212,0.7098387170313557,Curve 6,Length 400
1214,0.6152425968748002,Curve 7,Length 400
1216,0.5221450329128074,Curve 8,Length 400
1218,0.6765111452426866,Curve 9,Length 400
1220,0.5189044449763589,Curve 10,Length 400
1222,0.6297227395699866,Curve 11,Length 400
1224,0.5015003758604668,Curve 12,Length 400
1226,0.7000441264107257,Curve 13,Length 400
1228,0.5071487514515011,Curve 14,Length 400
1230,0.6227495357615258,Curve 15,Length 400
1232,0.5731354480282863,Curve 16,Length 400
1234,0.6853192426331176,Curve 17,Length 400
1236,0.6997555643822092,Curve 18,Length 400
1238,0.5400287919380249,Curve 19,Length 400
1240,0.5067655929249221,Curve 20,Length 400
1242,0.5675631654409385,Curve 21,Length 400
1244,0.5787141635953671,Curve 22,Length 400
1246,0.4952691948004694,Curve 23,Length 400
1248,0.6181998395503386,Curve 24,Length 400
1250,0.5287236018053922,Curve 25,Length 400
1252,0.5899985931476184,Curve 26,Length 400
1254,0.5851711490160688,Curve 27,Length 400
1256,0.7284099280820837,Curve 28,Length 400
1258,0.5700963853085289,Curve 29,Length 400
