id,x,y,z
28,-2.23999082,5.17129265,4.58294039
28,-2.44509901,5.00209707,4.74177157
28,-2.48888243,4.90748577,4.8340407
28,-2.82327385,4.6561666,5.03263289
28,-2.82227426,4.3998778,5.2583046
28,-2.67763274,4.1414427,5.48233737
28,-2.60418794,3.97960894,5.60956897
28,-2.35192205,3.91207723,5.68443202
28,-2.05956892,3.4690514,5.99209699
28,-2.29230552,3.51100805,5.94635656
29,-10.81470439,1.34095835,-4.23820397
29,-10.85791209,1.06444143,-4.28875281
29,-10.77648858,0.51888754,-4.43819549
29,-10.71502656,0.25214259,-4.49816358
29,-10.7359624,0.03777156,-4.49258847
29,-10.4781529,-0.36414128,-4.62811831
29,-10.45669798,-0.83488934,-4.57900935
29,-10.38109582,-1.09620988,-4.5668957
29,-10.3927047,-1.30565694,-4.50479547
29,-10.15103855,-1.71390932,-4.50573179
29,-9.58370024,-2.39575707,-4.50538794
29,-9.33612664,-2.25552035,-4.70338312
29,-9.50276728,-2.06482002,-4.70753351
29,-9.58194637,-2.36092094,-4.52466886
29,-9.91122469,-2.23791222,-4.40836196
29,-10.25475132,-2.61540233,-3.98367789
29,-10.1049925,-2.883786,-3.89307846
29,-10.09353921,-3.03718677,-3.78227617
29,-9.90328029,-3.18524285,-3.78622343
29,-9.56754293,-3.08594187,-4.07338844
30,-4.5735701,6.60294231,0.41444774
30,-4.76955085,6.57352089,0.31885621
30,-4.70139148,6.59275558,-0.09901204
30,-4.97416111,6.53003535,-0.41601522
30,-4.77639969,6.55264471,-0.5994571
30,-4.93280678,6.48417385,-0.93399345
30,-5.46348201,6.34768961,-1.11553917
30,-5.36210776,6.2996756,-1.45809376
30,-5.13479109,6.33005428,-1.52934395
30,-5.05537354,6.27443144,-1.80064146
30,-5.26469256,6.28063694,-1.61998539
30,-5.29423764,6.17848498,-1.95424801
30,-5.09735391,6.24116823,-1.88469225
30,-5.04453713,6.14123956,-2.2188596
30,-5.13103826,5.99947845,-2.53463408
30,-5.39933635,6.00419244,-2.3793833
30,-5.50744096,6.14480658,-1.91268807
30,-5.59881053,6.20211838,-1.64227214
30,-5.81623351,6.10962507,-1.79313649
30,-5.94262993,6.04692356,-1.89894783
31,-13.20872608,-2.24974786,0.56658929
31,-13.14189764,-2.26086185,0.84328839
31,-13.11770093,-2.17916393,1.11028157
31,-12.86563714,-2.43709982,1.2959127
31,-12.69040018,-2.68751728,1.23113229
31,-12.47528663,-3.01350433,1.0052848
31,-12.56527499,-2.95716144,0.88524705
31,-12.37942243,-3.14044425,0.90834188
31,-12.37725251,-3.25138127,0.35975679
31,-12.1357334,-3.48742041,0.13745032
31,-11.98142247,-3.60102349,0.37948484
31,-11.97326376,-3.55428115,0.72617093
31,-11.50700855,-3.85537188,1.01651179
31,-11.4312624,-3.95380097,0.83607286
31,-11.30198932,-3.93788932,1.24871416
31,-11.09349425,-4.13073178,1.08196641
31,-10.8458431,-4.32683307,0.93297238
31,-10.70385594,-4.42736938,0.8690612
31,-10.59052019,-4.512254,0.77445748
31,-10.30128334,-4.72634441,0.36408638
32,12.8812902,-2.59309159,-0.89104807
32,12.59784952,-2.8873909,-0.99323747
32,12.4631773,-2.89606778,-1.33420175
32,12.258023,-3.17473642,-1.16458865
32,12.17335048,-2.97693699,-1.7579052
32,11.99056934,-3.21076486,-1.65757375
32,11.89601152,-3.14870772,-1.92532261
32,12.0324383,-3.03597439,-1.89419287
32,12.21381543,-2.85397779,-1.88692579
32,11.8132562,-3.17931207,-2.0009296
32,11.79220573,-3.26405305,-1.8925984
32,11.74020651,-3.27311206,-1.9566873
32,11.55526401,-3.13074266,-2.41193259
32,11.44156401,-3.24756058,-2.39290692
32,11.23249832,-3.12264744,-2.77611569
32,11.32040192,-2.90424733,-2.92018365
32,11.74068829,-2.60024054,-2.78887231
32,11.93905122,-2.44710686,-2.71595877
32,12.07489454,-2.3988281,-2.60669411
32,12.20475498,-2.54625597,-2.29729612
33,0.11547875,-2.21343802,-6.64058418
33,-0.32548615,-2.49221011,-6.53929686
33,-0.71109676,-2.97900725,-6.32448426
33,-0.97975034,-2.88330128,-6.35976383
33,-1.13951015,-2.7455292,-6.41384819
