Sat Aug 20 20:44:28 AEST 2022
# hypergraphs = ["../Model_1/H/", "../Model_3/H/", "../Model_4/H/"]
# load_model = nothing
# early_stop = 100
# weigh_edges = false
# nFilters = 64
# kernel_sizes = [2, 5, 10, 15, 20]
# nFilters2 = 32
# pre = nothing
# pred = pred_134.tsv
# pair_files = false
# weigh_nodes = false
# model = 8
# edge_values = String[]
# node_values = ["../Model_1/nodeCents/", "../Model_3/nodeCents/", "../Model_4/nodeCents/"]
# cv = true
# epochs = 500
# save_model = model_134.bson
# sample = nothing
# Reading label 1 from 989 hypergraphs matching:
# ../Model_1/H/
# ../Model_1/nodeCents/
# Reading label 2 from 970 hypergraphs matching:
# ../Model_3/H/
# ../Model_3/nodeCents/
# Reading label 3 from 1017 hypergraphs matching:
# ../Model_4/H/
# ../Model_4/nodeCents/
120	0.0006904477	1.0000000000	1.0000000000	0.9778239697	2022-08-21T02:54:26.945
130	0.0013932189	1.0000000000	1.0000000000	0.9769643799	2022-08-21T02:56:20.332
140	0.0005780783	1.0000000000	1.0000000000	0.9771820665	2022-08-21T02:58:13.429
eval AUC = 0.9863784736613527
eval Acc = 0.9222972972972973
# test=4, eval=1
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0940299034	0.3267937220	0.6394271644	0.6233126593	2022-08-21T03:00:09.580
10	0.2293199599	0.9142376682	0.9881802416	[1m0.9650138151[0m	2022-08-21T03:02:03.026
20	0.1125158668	0.9641255605	0.9964700745	[1m0.9688371490[0m	2022-08-21T03:03:56.034
30	0.0691371337	0.9753363229	0.9990335960	0.9685887017	2022-08-21T03:05:49.318
40	0.0359306522	0.9943946188	0.9999372293	0.9686655835	2022-08-21T03:07:42.585
50	0.0320147797	0.9921524664	0.9999990683	0.9673308532	2022-08-21T03:09:35.874
60	0.0126802046	1.0000000000	1.0000000000	[1m0.9693766820[0m	2022-08-21T03:11:29.084
70	0.0072236960	1.0000000000	1.0000000000	0.9678148250	2022-08-21T03:13:22.477
80	0.0028831130	1.0000000000	1.0000000000	0.9682506552	2022-08-21T03:15:15.946
90	0.0016261227	1.0000000000	1.0000000000	0.9679891643	2022-08-21T03:17:09.837
100	0.0008668324	1.0000000000	1.0000000000	0.9677804917	2022-08-21T03:19:03.560
110	0.0005255670	1.0000000000	1.0000000000	0.9678254027	2022-08-21T03:20:57.398
120	0.0002887536	1.0000000000	1.0000000000	0.9681298829	2022-08-21T03:22:51.198
130	0.0002010417	1.0000000000	1.0000000000	0.9677369165	2022-08-21T03:24:45.363
140	0.0000969437	1.0000000000	1.0000000000	0.9678111140	2022-08-21T03:26:39.341
150	0.0000634884	1.0000000000	1.0000000000	0.9676640407	2022-08-21T03:28:33.206
160	0.0000366498	1.0000000000	1.0000000000	0.9675341345	2022-08-21T03:30:26.917
eval AUC = 0.9763899645143456
eval Acc = 0.8875838926174496
# test=4, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1062893867	0.3413677130	0.5098674945	0.5041682181	2022-08-21T03:32:23.970
10	0.2172349393	0.9232062780	0.9863260335	[1m0.9652394467[0m	2022-08-21T03:34:17.997
20	0.1449191570	0.9473094170	0.9938781495	[1m0.9681205724[0m	2022-08-21T03:36:11.935
30	0.1135365367	0.9702914798	0.9974049348	[1m0.9702314842[0m	2022-08-21T03:38:06.161
40	0.0611523092	0.9837443946	0.9991319026	0.9697296286	2022-08-21T03:40:00.061
